#CSB for Windows/Linux Version 15.7
#                  0001 --> Turn Left
#                  0002 --> Turn Right
#                  0003 --> Move Forward
#                  0004 --> Slide Right
#                  0005 --> Move Backward
#                  0006 --> Slide Left
#                  000b --> Leave Inventory Screen
#                  0046 --> Click mouth to feed
#                  0047 --> Click eye to show skills
#                  0050 --> Click in Viewport
#                  0053 --> Select Inventory Screen
#                  006f --> Select Attack Character/option
#                  008c --> Select Disk option from inventory
#                  0093 --> Freeze Game
#                  0094 --> un-Freeze Game
#                  00c9 --> Resume (at prison door)
#                  00d2 --> First Menu option
#                  00d3 --> Second Menu Option
#                  00d4 --> Third Menu Option
#                  0add --> Mouse button up
#                  6665 --> Version Signiture
#                  6666 --> Graphics Signiture
#                  6667 --> Dungeon Signiture
#                  6668 --> SaveGame Signiture
#                  6669 --> LoadGame Signiture
#                  666a --> CSBGraphic Signiture
#                  ffff --> Drag out of chartacter order area
## Parameters you can change
##   #[No]DMRules
##   #[No]ExtraTicks
##   #[No]SpeedLimit //Quick Play
##   #[No]Sleep //Skip over any delays for flashing buttons, etc
##   #FastVBLnn // Set VBL multiplier (go fast); If not equal one then
##              // Only display every third frame.  99 is a special case
##              // that goes fast AND displays every frame
##   #TimerTrace<On/Off>
##   #AITrace<On/Off>
##   #DSATrace<On/Off>
000001a2 0000 0000 0003 586444c8
000001a4 0000 0000 0001 c99a514e
000001a6 0000 0000 0003 046c99ce
000001a8 0000 0000 0003 83a8400d
000001aa 0000 0000 0001 19ffa1b8
000001ad 0000 0000 0002 123a01b0
000001af 0000 0000 0004 69d6e7ba
000001b1 0000 0000 0004 a48d3697
000001b4 0000 0000 0002 ed3f799a
000001b9 006f 0053 0050 fe4dc6e4
000001ba 0000 0000 0add 6d26b17c
000001bc 007b 006c 0051 b1ffd4f0
000001bd 0000 0000 0add 2b375998
000001c5 0000 0000 0002 7d0b42e6
000001c8 0000 0000 0002 3bcbf2b4
000001cb 0000 0000 0003 662b4db8
000001cd 0000 0004 2221 df048922
000001cd 0000 0000 0002 105559d9
000001d0 0000 0000 0001 d917e9d6
000001d3 0000 0000 0003 0e23b4ba
000001d5 0000 0000 0001 8177eb01
000001d7 0000 0000 0003 1939a40a
000001d9 0000 0000 0003 494938fe
000001dd 0000 0000 0003 da5851df
000001e0 0000 0000 0001 19c9fd84
000001e4 0000 0000 0002 3f0232a3
000001e6 0000 0000 0002 c84f70ef
000001e8 0000 0000 0003 9a3565db
000001ea 0000 0000 0003 ee14480b
000001ec 0000 0000 0003 e6fe2474
000001ee 0000 0000 0003 070523fd
000001ef 0000 0000 0001 93d5932a
000001f1 0000 0000 0003 0b254044
000001f3 0000 0000 0003 71abe8f5
000001f4 0000 0000 0001 c4d37ede
000001f7 0000 0000 0003 d93f6dcc
000001f9 0000 0000 0001 6b21cc68
000001fd 0000 0000 0002 bd591214
00000200 0000 0000 0003 de26a9bb
0000020b 0000 0000 0053 95d35259
0000020c 0000 0000 0add 1becdda7
00000210 0000 0000 2223 1bd73dbb
00000210 c2b2 6ecd 6668 61fce90f
00000211 c2b2 6ecd 6668 05c02083
00000211 0000 0000 0add 05c02083
00000212 0000 0000 000b 757d040b
00000213 0000 0000 0add 44a16767
0000021e 00f1 0038 0064 4d8de109
0000021f 0000 0000 0add 11c565e1
00000222 011b 0038 0064 1f2d3e91
00000223 0000 0000 0add 67bd42f0
00000227 011d 002d 0064 4ff4e585
00000228 0000 0000 0add 0949a5c2
0000022a 00f1 0038 0064 c7f15395
0000022b 0000 0000 0add 7cc516a9
0000022e 011b 0038 0064 138e3a34
0000022f 0000 0000 0add 405a7c7a
00000231 010c 0044 0064 0dda4fd7
00000232 0000 0000 0add 1526b62c
00000238 012b 002d 0064 fc253016
00000239 0000 0000 0add e75c24c4
0000023c 00f1 0038 0064 7ee185d9
0000023d 0000 0000 0add 66e894ef
00000240 011b 0038 0064 cfd6af3a
00000241 0000 0000 0add 9de47f38
00000245 010c 0044 0064 117b2155
00000247 0000 0000 0add 9fae5874
0000024a 0139 002d 0064 cd7b74b8
0000024b 0000 0000 0add 0f93d382
0000024e 00f1 0038 0064 a0cdbe37
0000024f 0000 0000 0add 2937e20c
00000254 011b 0038 0064 9b7058cc
00000255 0000 0000 0add 61f052ba
00000256 0115 003e 0064 a6bc9119
00000257 176a 5076 6667 6f655220
00000257 0000 0000 0add 84982fab
00000258 010c 0044 0064 e1ee71c4
00000259 0000 0000 0add 5aff5769
00000267 00a7 0051 0050 41b73479
00000268 0000 0000 0add d02e51b8
0000026e 0000 0000 0003 d95de562
00000270 0000 0000 0003 5c16017e
00000271 0000 0000 0001 366bd8c8
00000274 0000 0000 0002 0b3a59e9
00000276 0000 0000 0002 6c669ba0
0000027a 0000 0000 0001 add09af8
0000027f 0000 0000 0002 29fdd314
00000281 0000 0000 0003 e88a508b
00000283 0000 0000 0001 4ffba1d4
00000286 0000 0000 0002 fcc0d540
00000289 0000 0000 0003 f38caee6
0000028b 0000 0000 0003 fc9114fb
0000028d 0000 0000 0001 faf6c839
0000028f 0000 0000 0003 25053efe
00000291 0000 0000 0003 fd948d36
00000293 0000 0000 0003 39f58f97
00000296 0000 0000 0001 f618ebb3
00000299 0000 0000 0002 4b63ee9a
0000029b 0000 0000 0003 e8befb98
0000029d 0000 0000 0003 77e17953
0000029f 0000 0000 0003 5e72fce3
000002a1 0000 0000 0003 8f552d51
000002a3 0000 0000 0003 4001ce97
000002a4 0000 0000 0001 044a77a9
000002a7 0000 0000 0002 21565402
000002a9 0000 0000 0003 7f360c52
000002ab 0000 0000 0003 4c322ec9
000002af 00f3 0073 006f e27d5f76
000002b0 0000 0000 0add f483f183
000002b1 0000 0000 0003 70f04a79
000002b3 0000 0000 0003 1e56e7e4
000002b6 0000 0000 0001 e65feb9c
000002b8 0000 0000 0002 1d452ba2
000002ba 0000 0000 0003 f09655de
000002bc 0000 0000 0003 430f063a
000002be 0000 0000 0003 0d142abd
000002c0 0000 0000 0003 8c780556
000002c1 0000 0000 0001 0e55bf95
000002c4 0000 0000 0003 df6356b7
000002c5 00f3 005b 006f 1ae9f918
000002c6 0000 0000 0add e5cb55c6
000002c7 0000 0000 0005 8632ccb8
000002ca 0000 0000 0001 c756aece
000002cc 0000 0000 0003 402bf748
000002ce 0000 0000 0003 2f76c06a
000002d1 0000 0000 0003 b095f046
000002d3 0000 0000 0003 78aebb09
000002d5 0000 0000 0003 2a6fda0a
000002d7 0000 0000 0003 83e36a8b
000002d9 0000 0000 0003 05c6dc20
000002db 0000 0000 0003 367cf2ce
000002dd 0000 0000 0003 8a5c50d8
000002df 0000 0000 0003 4d45983b
000002e1 0000 0000 0003 db887dee
000002e3 0000 0000 0003 79f6609b
000002e5 0000 0000 0003 839cc9b4
000002e7 0000 0000 0003 edcc4c84
000002e9 0000 0000 0003 fc8c96c4
000002eb 0000 0000 0003 a542f71d
000002ed 0000 0000 0002 528a8648
000002ef 0000 0000 0003 34fe513a
000002f1 0000 0000 0003 e658100f
000002f4 0000 0000 0003 e42a97b9
000002f7 0000 0000 0002 50f2a0c0
000002fa 0000 0000 0001 5fe7dd53
000002fb 0000 0000 0001 7383ee1c
000002fd 0000 0000 0053 eb2503e8
000002fe 0000 0000 0add 3726e898
00000303 0000 0000 2223 dcd01d37
00000303 491f e237 6668 0836500d
00000304 491f e237 6668 3b1846cf
00000304 0000 0000 0add 3b1846cf
00000304 0000 0000 000b 3b1846cf
00000305 0000 0000 0add a4a278b1
0000030a 00ee 002d 0064 063123a3
0000030b 0000 0000 0add b19d3376
0000030d 011b 0038 0064 82932805
0000030e 0000 0000 0add ef2edbe1
00000311 00f1 0038 0064 43077099
00000312 0000 0000 0add c8633d5c
00000313 010c 0044 0064 9eed7ea5
00000314 0000 0000 0add cae3e081
00000318 0000 0000 0002 147f7022
0000031a 0000 0000 0002 c8c38b2c
0000031d 0000 0000 0002 91ee6de4
00000321 0000 0000 0003 10bd1c51
00000323 0000 0000 0003 db374b38
00000325 0000 0000 0003 a9f33a71
00000326 0000 0000 0001 1fc9b1d6
00000328 0000 0000 0003 decc6285
0000032a 0000 0000 0003 a64888bd
0000032c 0000 0000 0003 cae265dc
0000032e 0000 0000 0003 50450243
00000330 0000 0000 0001 6aa89ac6
00000334 0000 0000 0002 2b1156f0
00000336 0000 0000 0003 a648f82c
00000338 0000 0000 0003 c2245368
0000033a 0000 0000 0003 e2417b99
0000033c 0000 0000 0003 5cc18fde
0000033e 0000 0000 0001 d107a365
00000340 0000 0000 0002 8117c32d
00000343 00f3 005b 006f f6483b50
00000344 0000 0000 0add 76358d45
00000347 0000 0000 0003 2df6550f
00000349 00f3 005b 006f f4b31fab
0000034a 0000 0000 0add ede27e54
0000034b 0000 0000 0005 c7913eed
0000034d 0108 005b 006f 5ad23326
0000034e 0000 0000 0add 1084a0ad
00000358 0108 005b 006f 8ca67144
00000359 0000 0000 0add 87ab21d8
0000035a 0000 0000 0005 50295d6a
0000035c 00f3 005b 006f 8eafd5ca
0000035d 0000 0000 0add 5e5c2484
00000363 0000 0000 0003 d507f7f5
00000365 00f3 005b 006f d56c4b35
00000366 0000 0000 0add 2ec71885
00000366 0000 0000 0005 2ec71885
00000369 011e 005b 006f 567b445d
0000036a 0000 0000 0add c5b7235b
0000036b 0108 005b 006f cc53faf7
0000036c 0000 0000 0add 258f8037
00000371 0000 0000 0005 c51fcc69
00000375 00f7 0061 006f fc6b6976
00000376 0000 0000 0add a556e2af
00000377 00f3 005b 006f aba0091b
00000378 0000 0000 0add e55574b7
00000379 0000 0000 0005 6a90af57
0000037a 0108 0067 006f fbcfef18
0000037b 0000 0000 0add 9367fa9e
00000389 0000 0000 0001 862e8c66
0000038c 0000 0000 0002 4f12db0e
00000391 0000 0000 0003 87ed824f
00000393 0000 0000 0003 17b151b2
00000394 0108 005b 006f 86ee1ddb
00000395 0000 0000 0add 64eb29ea
00000396 0000 0000 0005 e96f1436
00000398 00f3 0067 006f 75c0b469
00000399 0000 0000 0add 272ee087
0000039a 00f3 005b 006f 2009606b
0000039b 0000 0000 0add f686c420
0000039c 0000 0000 0005 b4f8c01f
0000039f 0000 0000 0001 2fd2868d
000003a1 0000 0000 0001 a388dbcf
000003a3 0000 0000 0003 c2988142
000003a5 0000 0000 0003 f8b61ab5
000003a7 0000 0000 0003 533287f0
000003a9 0000 0000 0003 73bd05ff
000003ab 0000 0000 0003 af44ffbc
000003ad 0000 0000 0002 a4db8157
000003af 0000 0000 0003 97acf46b
000003b1 0000 0000 0003 99c0ec2e
000003b3 0000 0000 0003 61301533
000003b6 0000 0000 0001 75280163
000003ba 0000 0000 0053 01566f5c
000003bb 0000 0000 0add b4a572e1
000003be 0000 0000 2223 3e705654
000003be eefe 37e7 6668 6fdcbe82
000003bf eefe 37e7 6668 6fdcbe82
000003bf 0000 0000 0add 6fdcbe82
000003bf 0000 0000 000b 6fdcbe82
000003c1 0000 0000 0add f9ecd8a0
000003c5 0000 0000 0002 15682d90
000003c7 0000 0000 0002 5a52f7fc
000003d0 00f1 0038 0064 8ffb7c75
000003d1 0000 0000 0add d7ebfc84
000003da 00f1 0038 0064 1ee45180
000003db 0000 0000 0add 3dff84ed
000003df 011d 002d 0064 ed0b696e
000003e0 0000 0000 0add 1eceb88b
000003e2 00f1 0038 0064 b0cced44
000003e3 0000 0000 0add 49def8ef
000003e5 011b 0038 0064 56859e1c
000003e6 0000 0000 0add 298b114d
000003e7 010c 0044 0064 dc6b12ec
000003e8 0000 0000 0add 63a076e6
000003eb 012b 002d 0064 bf11899b
000003ec 0000 0000 0add d95ffa6a
000003ee 00f1 0038 0064 fa7013ee
000003ef 0000 0000 0add f9214867
000003f1 011b 0038 0064 c4d85893
000003f2 0000 0000 0add 9ede4d09
000003f9 0139 002d 0064 c7e53737
000003fa 0000 0000 0add f0c7261b
000003fd 00f1 0038 0064 f090f4c5
000003fe 0000 0000 0add 361b01db
00000401 011b 0038 0064 5fe3f7fa
00000402 0000 0000 0add 8609bad8
00000403 010c 0044 0064 9aff2b54
00000404 0000 0000 0add 87a53f22
0000040c 0000 0000 0002 988b7e75
00000411 0000 0000 0002 cc52e798
00000414 0000 0000 0053 8db069b2
00000415 0000 0000 0add 591a8cc8
00000418 3c37 e414 6668 4ca0c8f1
00000418 3c37 e414 2224 4ca0c8f1
00000418 3c37 e414 6669 a1bfbe5d
00000418 0000 0000 000b a1bfbe5d
00000428 1354 c22a 6666 ede419e7
00000428 176a 5076 6667 f71e17a6
00000428 4210 c71e 6665 a5094c39
00000428 0000 0000 0001 0e5d9c10
0000042b 0000 0000 0001 3637e917
0000042e 0000 0000 0001 45a973db
00000431 0000 0000 0003 dd4e4872
00000433 0000 0000 0003 8d316d88
00000439 0000 0000 0003 ddf3036f
0000043c 0000 0000 0002 b11227e1
0000043f 0000 0000 0003 3b142661
00000441 0000 0000 0003 66829d0c
00000443 0000 0000 0003 596c5ddc
00000445 0000 0000 0002 6877378b
00000447 0000 0000 0001 5b2e1a98
0000044a 0000 0000 0003 2472667a
0000044b 0000 0000 0001 a4872532
0000044d 0000 0000 0002 22ed0d2a
0000044f 1354 c22a 6666 0b34aa47
0000044f 0000 0000 0003 b7fdb886
00000451 0000 0000 0003 ef33e177
00000453 0000 0000 0002 f552298e
00000455 0000 0000 0001 893adf9c
00000457 0000 0000 0003 8b6086eb
00000459 0000 0000 0003 2d7c8fd6
0000045c 0000 0000 0003 98de98e2
0000045e 0000 0000 0003 ad76140e
00000460 0000 0000 0003 c9d54b31
00000461 0000 0000 0001 236ae61d
00000464 0000 0000 0002 4a655f54
00000467 0000 0000 0003 ed72af49
0000046a 0000 0000 0003 17250539
0000046c 0000 0000 0002 def59706
0000046e 0000 0000 0001 1edc31dd
0000046f 00f3 0061 006f 105c16d3
00000470 0000 0000 0add 41665116
0000047b 0000 0000 0003 aa0ab402
0000047c 00f3 005b 006f f80f57aa
0000047d 0000 0000 0add df0c5d21
0000047d 0000 0000 0005 df0c5d21
00000481 0108 005b 006f 738a56b8
00000482 0000 0000 0add a356b3a7
0000048b 0000 0000 0003 058a3257
0000048e 0000 0000 0003 f76d6ae5
00000490 00f3 005b 006f d3a2503b
00000491 0000 0000 0add def44179
00000492 0000 0000 0005 5fe5cf5b
00000494 00f8 0061 006f ad9e6d24
00000495 0000 0000 0add da5592d5
00000496 0000 0000 0003 761621df
00000497 00f3 005b 006f 10e63943
00000498 0000 0000 0add 45f60d5c
00000499 0000 0000 0005 6dc97206
0000049b 0102 0061 006f 02cd4e29
0000049c 0000 0000 0add e70d3995
000004a0 0000 0000 0003 a5417a7a
000004a2 0000 0000 0003 c7567cb1
000004a3 0000 0000 0002 b7152956
000004a5 0108 005b 006f 5dfa8e12
000004a6 0000 0000 0add 13cb0f4f
000004a8 00f3 0067 006f 5dee7876
000004a9 0000 0000 0add 3c3022cc
000004aa 0000 0000 0003 faee90f6
000004ab 00f3 005b 006f b8400689
000004ac 0000 0000 0add 7a32cbe2
000004ad 0000 0004 2221 04414002
000004ad 0000 0000 0003 ae7ad539
000004af 0108 005b 006f 01974d64
000004b0 0000 0000 0add cd0e3edc
000004b0 0108 005b 006f cd0e3edc
000004b1 0000 0000 0add 3da4da76
000004b3 00f3 0067 006f 3c32ec7c
000004b4 0000 0000 0add 331b1370
000004b4 00f3 005b 006f 331b1370
000004b5 0000 0000 0add 8e42b1a8
000004bd 00f3 0067 006f e89cc570
000004be 0000 0000 0add 462e2b4c
000004bf 00f3 005b 006f 44ce011a
000004c0 0000 0004 2221 c670c822
000004c0 0000 0000 0add 10c59cd9
000004c1 0000 0000 0005 080f2fb3
000004c3 0103 0061 006f 3c3163e7
000004c4 0000 0000 0add f8fc9d44
000004c5 0108 005b 006f 0f281515
000004c6 0000 0000 0add cbc2d49b
000004c7 0000 0000 0005 29a65860
000004ca 00f5 0060 006f 6c30dfb8
000004cb 0000 0000 0add 996f4253
000004cb 00f3 005b 006f 996f4253
000004cc 0000 0000 0add eb0f4031
000004cd 0000 0000 0004 9a8b9ba9
000004cf 0000 0000 0001 d1e643c4
000004d5 00f4 0061 006f e5052c6a
000004d6 0000 0000 0add 4912651d
000004da 0000 0000 0002 8b45477a
000004dc 0000 0000 0001 1bf69a16
000004de 0000 0000 0003 bcec41eb
000004df 0000 0000 0002 23cd91c8
000004e5 0000 0000 0003 8b06f359
000004e7 0000 0000 0003 b63a2835
000004e9 0000 0000 0002 912ea413
000004eb 00f3 005b 006f c0b4853d
000004ec 0000 0000 0add 48b53cc8
000004ed 0000 0000 0004 315e18c6
000004f1 0000 0000 0006 da03f2aa
000004f3 0108 005b 006f 05c9d689
000004f4 0000 0000 0add e856a199
000004f4 0000 0000 0003 e856a199
000004f5 176a 5076 6667 62d318a0
000004f5 0108 005b 006f 0f3b142b
000004f6 0000 0000 0add 0519dd64
000004f8 00f9 0060 006f 0765c3cf
000004f9 0000 0000 0add c5191669
000004f9 0000 0000 0003 c5191669
000004fb 00f3 005b 006f 85ebae81
000004fc 0000 0000 0add 84c2c0fc
000004ff 0104 0061 006f 342ebc75
00000500 0000 0000 0add c57b2b81
00000501 0108 005b 006f fcdeee34
00000502 0000 0000 0add b56a107a
00000504 00f8 0061 006f 54c2d728
00000505 0000 0000 0add abc54503
00000505 0000 0000 0003 abc54503
00000507 0000 0000 0002 6eac7c1f
00000509 00f3 005b 006f 903164d5
0000050a 0000 0000 0add c4e347b9
0000050d 0000 0000 0003 d561a07c
0000050f 0000 0000 0003 7f73b8df
00000511 0000 0000 0001 fede518a
00000513 0000 0000 0003 f5bac3b5
00000515 0000 0000 0003 279b1076
00000517 0000 0000 0003 638b76ff
00000519 0000 0000 0003 cf2fe02f
0000051b 0000 0000 0003 1810c11b
0000051d 0000 0000 0003 4270e8b0
0000051f 0000 0000 0003 462e769a
00000521 0000 0000 0003 804e0cef
00000523 0000 0000 0003 351f3df5
00000525 0000 0000 0003 7a2ff632
00000527 0000 0000 0003 3083a1a4
00000529 0000 0000 0003 e917d476
0000052b 0000 0000 0003 fe2ee6db
0000052d 0000 0000 0001 d66458bc
00000530 0000 0000 0003 4ed5dc02
00000534 0000 0000 0003 e19300b7
00000536 0000 0000 0003 68ae3676
00000538 0000 0000 0002 4e406e87
0000053f 0000 0000 0053 f0c79aec
00000540 0000 0000 0add dbd5a48d
00000545 0000 0000 2223 1c6405e7
00000545 fe29 be8f 6668 bfb7d7b0
00000546 7e79 ad40 6668 13eb4334
00000546 0000 0000 0add 13eb4334
00000547 0000 0000 000b d6f62c35
00000548 0000 0000 0add ab4ba5d9
00000549 0000 0000 0001 b4b212bd
0000054b 0000 0000 0001 100a192d
0000054d 0000 0000 0001 da5e34df
0000054e 0000 0000 0001 dab9c9c2
00000551 0000 0000 0002 60c82622
00000559 0000 0000 0002 3f2201c7
0000055b 0000 0000 0001 863d115a
0000055c 0000 0000 0001 53d9b397
00000562 00f1 0038 0064 909a651c
00000563 0000 0000 0add e9e1850f
00000568 011b 0038 0064 94b9b5f3
00000569 0000 0000 0add f712a331
0000056a 010c 0044 0064 c6fb9c04
0000056b 0000 0000 0add 89d1e2ec
00000570 010a 002d 0064 c7c4258e
00000571 0000 0000 0add 80a0049a
00000575 011b 0038 0064 ff5e7d91
00000576 176a 5076 6667 868242ac
00000576 0000 0000 0add fbcc4047
0000057c 00fc 002d 0064 e9cc09dd
0000057d 0000 0000 0add f297ecdb
00000583 00f1 0038 0064 dd2f9fb6
00000584 0000 0000 0add 86efc08d
00000586 011b 0038 0064 65bb6726
00000587 0000 0000 0add 2c9726b7
0000058c 00ee 002d 0064 b6da6d1e
0000058d 0000 0000 0add 90149e46
00000591 00f1 0038 0064 e96363b4
00000592 0000 0000 0add 8ad37ec7
00000594 010c 0044 0064 9173cd54
00000595 0000 0004 2221 43ddc1a6
00000595 0000 0000 0add 72f75c4d
00000599 0000 0000 0002 42356f9d
0000059b 0000 0000 0002 e5fa7da8
0000059d 0000 0000 0001 0c1f5c0c
0000059e 0000 0000 0001 348ef6fd
000005a0 0000 0000 0053 efc330f9
000005a1 0000 0004 2221 5fce41ac
000005a1 0000 0000 0add da461e3b
000005a4 0000 0000 2223 02eff575
000005a4 1b1f 8ae4 6668 f5563604
000005a5 0de9 8f0e 6668 f5563604
000005a6 0048 006f 000b 578fe645
000005a7 0000 0000 0add 70910d19
000005ab 0000 0000 0093 8b5a9fa7
000005ab 0000 0000 0094 8b5a9fa7
000005b2 0000 0000 0002 9b21e71f
000005b4 0000 0000 0002 fc066250
000005b6 0000 0000 0002 43a98ab9
000005bd 00f3 0067 006f 41006482
000005be 0000 0000 0add c90ffe68
000005c1 00fc 0042 0093 4270d50f
000005c1 00a1 0079 0094 4270d50f
000005c2 0000 0000 0add fc00b0c0
000005c4 0000 0000 0005 c1663592
000005ca 0000 0000 0006 8a7463b5
000005cd 0000 0000 0002 e465347a
000005cf 0108 0067 006f ba57c650
000005d0 0000 0000 0add e6fb54bc
000005d1 0000 0000 0005 686eff4c
000005d4 0108 0067 006f 4aa24db6
000005d5 0000 0000 0add 20fa7cd7
000005d6 0108 005b 006f df604564
000005d7 0000 0000 0add fb09292e
000005d7 0000 0000 0005 fb09292e
000005d9 00f3 0067 006f 6ddc10f5
000005da 0000 0000 0add 0e7d9e69
000005df 0000 0000 0005 0320589b
000005e1 00f3 005b 006f dc9dd79a
000005e2 0000 0000 0add 19ab41a5
000005e4 0000 0000 0006 ee52b4f1
000005e6 0000 0000 0002 b095d4ad
000005e7 00f3 0067 006f bd664137
